Character,Count
 ,199002163
e,99505497
a,71245440
t,66483042
h,51757823
o,49988280
n,48744432
d,44566452
i,43386505
s,36633200
r,36257355
l,32872169
y,23527817
w,21803746
.,21629179
m,19142045
u,17579204
p,16359376
g,14967693
c,14223013
b,12727793
f,11909778
T,9329818
k,8998962
",",8350439
"
",6501230
v,6133618
S,3720234
O,2989987
H,2878660
x,1425520
L,1380056
B,1329731
M,1109175
I,1007502
A,1000622
j,735038
z,469244
F,364923
J,334031
E,267008
q,265719
W,258774
D,145825
K,120786
P,90159
R,78119
N,66060
C,61716
G,42899
Z,29879
V,18098
U,12196
Y,5872
Q,2848
X,1039
